patch_name	grade_1	grade_2
ZT80_38_A_1_1_patch_33	1	2
ZT80_38_A_1_1_patch_38	1	2
ZT80_38_A_1_1_patch_39	1	2
ZT80_38_A_1_1_patch_40	1	2
ZT80_38_A_1_1_patch_45	1	2
ZT80_38_A_1_1_patch_46	1	2
ZT80_38_A_1_10_patch_9	2	2
ZT80_38_A_1_10_patch_11	2	2
ZT80_38_A_1_10_patch_12	2	2
ZT80_38_A_1_10_patch_15	2	2
ZT80_38_A_1_10_patch_16	2	2
ZT80_38_A_1_10_patch_17	2	2
ZT80_38_A_1_10_patch_18	2	2
ZT80_38_A_1_10_patch_19	2	2
ZT80_38_A_1_10_patch_20	2	2
ZT80_38_A_1_10_patch_22	2	2
ZT80_38_A_1_10_patch_23	2	2
ZT80_38_A_1_10_patch_24	2	2
ZT80_38_A_1_10_patch_25	2	2
ZT80_38_A_1_10_patch_26	2	2
ZT80_38_A_1_10_patch_27	1	2
ZT80_38_A_1_10_patch_29	2	2
ZT80_38_A_1_10_patch_30	2	2
ZT80_38_A_1_10_patch_31	2	2
ZT80_38_A_1_10_patch_32	2	2
ZT80_38_A_1_10_patch_34	1	2
ZT80_38_A_1_10_patch_36	2	2
ZT80_38_A_1_10_patch_37	2	2
ZT80_38_A_1_10_patch_38	2	2
ZT80_38_A_1_10_patch_39	2	2
ZT80_38_A_1_10_patch_40	2	2
ZT80_38_A_1_10_patch_41	2	2
ZT80_38_A_1_10_patch_43	2	2
ZT80_38_A_1_10_patch_44	2	2
ZT80_38_A_1_10_patch_45	2	2
ZT80_38_A_1_10_patch_46	2	2
ZT80_38_A_1_10_patch_47	2	2
ZT80_38_A_1_11_patch_10	3	3
ZT80_38_A_1_11_patch_11	3	3
ZT80_38_A_1_11_patch_12	3	3
ZT80_38_A_1_11_patch_15	3	3
ZT80_38_A_1_11_patch_16	3	2
ZT80_38_A_1_11_patch_17	3	2
ZT80_38_A_1_11_patch_20	3	3
ZT80_38_A_1_11_patch_37	1	2
ZT80_38_A_1_11_patch_38	1	2
ZT80_38_A_1_11_patch_45	1	2
ZT80_38_A_1_13_patch_10	1	2
ZT80_38_A_1_13_patch_19	1	2
ZT80_38_A_1_13_patch_20	1	2
ZT80_38_A_1_13_patch_25	1	1
ZT80_38_A_1_13_patch_27	1	2
ZT80_38_A_1_13_patch_29	1	1
ZT80_38_A_1_13_patch_30	1	1
ZT80_38_A_1_13_patch_34	1	2
ZT80_38_A_1_13_patch_37	1	1
ZT80_38_A_1_13_patch_41	1	2
ZT80_38_A_1_13_patch_47	1	2
ZT80_38_A_1_14_patch_9	1	2
ZT80_38_A_1_14_patch_10	1	2
ZT80_38_A_1_14_patch_15	1	2
ZT80_38_A_1_14_patch_16	1	2
ZT80_38_A_1_14_patch_17	1	2
ZT80_38_A_1_14_patch_18	1	2
ZT80_38_A_1_14_patch_22	1	2
ZT80_38_A_1_14_patch_23	1	2
ZT80_38_A_1_14_patch_24	1	2
ZT80_38_A_1_14_patch_25	1	2
ZT80_38_A_1_14_patch_26	1	2
ZT80_38_A_1_14_patch_27	1	2
ZT80_38_A_1_14_patch_29	1	2
ZT80_38_A_1_14_patch_30	1	2
ZT80_38_A_1_14_patch_31	1	2
ZT80_38_A_1_14_patch_32	1	2
ZT80_38_A_1_14_patch_33	1	2
ZT80_38_A_1_14_patch_34	1	2
ZT80_38_A_1_14_patch_36	1	2
ZT80_38_A_1_14_patch_37	1	2
ZT80_38_A_1_14_patch_38	1	2
ZT80_38_A_1_14_patch_39	1	2
ZT80_38_A_1_14_patch_40	1	2
ZT80_38_A_1_14_patch_45	1	2
ZT80_38_A_1_2_patch_8	1	2
ZT80_38_A_1_2_patch_9	1	2
ZT80_38_A_1_2_patch_15	1	2
ZT80_38_A_1_2_patch_16	1	2
ZT80_38_A_1_2_patch_17	1	2
ZT80_38_A_1_2_patch_18	1	2
ZT80_38_A_1_2_patch_24	1	1
ZT80_38_A_1_2_patch_25	1	2
ZT80_38_A_1_2_patch_26	1	2
ZT80_38_A_1_2_patch_29	1	1
ZT80_38_A_1_2_patch_30	1	1
ZT80_38_A_1_2_patch_31	1	1
ZT80_38_A_1_2_patch_32	1	2
ZT80_38_A_1_2_patch_33	1	2
ZT80_38_A_1_2_patch_36	1	1
ZT80_38_A_1_2_patch_37	1	1
ZT80_38_A_1_2_patch_38	1	1
ZT80_38_A_1_2_patch_39	1	2
ZT80_38_A_1_2_patch_40	1	2
ZT80_38_A_1_2_patch_41	1	2
ZT80_38_A_1_2_patch_46	1	2
ZT80_38_A_1_4_patch_9	1	2
ZT80_38_A_1_4_patch_10	1	2
ZT80_38_A_1_4_patch_11	1	2
ZT80_38_A_1_4_patch_12	1	2
ZT80_38_A_1_4_patch_15	1	2
ZT80_38_A_1_4_patch_16	1	2
ZT80_38_A_1_4_patch_17	1	2
ZT80_38_A_1_4_patch_18	1	2
ZT80_38_A_1_4_patch_22	1	2
ZT80_38_A_1_4_patch_23	1	2
ZT80_38_A_1_4_patch_30	1	2
ZT80_38_A_1_4_patch_34	1	2
ZT80_38_A_1_4_patch_36	1	2
ZT80_38_A_1_4_patch_37	1	2
ZT80_38_A_1_4_patch_38	1	1
ZT80_38_A_1_4_patch_40	1	1
ZT80_38_A_1_4_patch_41	1	2
ZT80_38_A_1_4_patch_45	1	1
ZT80_38_A_1_5_patch_3	2	2
ZT80_38_A_1_5_patch_4	2	2
ZT80_38_A_1_5_patch_8	2	2
ZT80_38_A_1_5_patch_9	2	2
ZT80_38_A_1_5_patch_10	2	2
ZT80_38_A_1_5_patch_11	2	2
ZT80_38_A_1_5_patch_12	2	2
ZT80_38_A_1_5_patch_15	2	2
ZT80_38_A_1_5_patch_16	2	2
ZT80_38_A_1_5_patch_17	2	2
ZT80_38_A_1_5_patch_18	2	2
ZT80_38_A_1_5_patch_19	2	2
ZT80_38_A_1_5_patch_20	2	2
ZT80_38_A_1_5_patch_21	2	2
ZT80_38_A_1_5_patch_22	2	2
ZT80_38_A_1_5_patch_23	2	2
ZT80_38_A_1_5_patch_24	2	2
ZT80_38_A_1_5_patch_25	2	2
ZT80_38_A_1_5_patch_26	2	2
ZT80_38_A_1_5_patch_27	2	2
ZT80_38_A_1_5_patch_29	2	2
ZT80_38_A_1_5_patch_30	2	2
ZT80_38_A_1_5_patch_31	2	2
ZT80_38_A_1_5_patch_32	2	2
ZT80_38_A_1_5_patch_33	2	2
ZT80_38_A_1_5_patch_34	2	2
ZT80_38_A_1_5_patch_36	2	2
ZT80_38_A_1_5_patch_37	2	2
ZT80_38_A_1_5_patch_38	2	2
ZT80_38_A_1_5_patch_39	2	2
ZT80_38_A_1_5_patch_40	2	2
ZT80_38_A_1_5_patch_41	2	2
ZT80_38_A_1_5_patch_44	2	2
ZT80_38_A_1_5_patch_45	2	2
